textID,text,sentiment,platform,entity,timestamp,user,likes,retweets,country,hashtags
36,"Standard shopping experience. Nothing notable.",Neutral,Facebook,RetailChain,2024-01-17 16:00:00,user_136,2,0,Australia,
37,"This pizza changed my life! Best I've had in 30 years! #pizzalover",Positive,Instagram,FoodBrand,2024-01-17 17:00:00,user_137,892,0,USA,#pizzalover
38,"Food poisoning after eating here. Stay away from this place!",Negative,Twitter,FoodBrand,2024-01-17 18:00:00,user_138,178,91,India,
39,"Portion sizes could be bigger for the price but food is decent.",Neutral,Facebook,FoodBrand,2024-01-17 19:00:00,user_139,8,2,UK,
40,"The documentary made me cry! So powerful and moving! #mustwatch",Positive,Twitter,MediaBrand,2024-01-18 08:00:00,user_140,456,134,Germany,#mustwatch
41,"Terrible adaptation. Ruined the source material completely.",Negative,Twitter,MediaBrand,2024-01-18 09:00:00,user_141,78,29,USA,
42,"The series is okay. Gets better after episode 3.",Neutral,Facebook,MediaBrand,2024-01-18 10:00:00,user_142,13,4,Canada,
43,"These shoes are perfection! Comfortable AND stylish! #shoes #fashion",Positive,Instagram,FashionBrand,2024-01-18 11:00:00,user_143,654,0,Australia,#shoes #fashion
44,"Color faded after first wash. False advertising!",Negative,Twitter,FashionBrand,2024-01-18 12:00:00,user_144,89,34,USA,
45,"Average quality for the price. Won't repurchase.",Neutral,Facebook,FashionBrand,2024-01-18 13:00:00,user_145,5,1,UK,
46,"Blazing fast speeds! This internet service is phenomenal! #broadband",Positive,Twitter,TechBrand,2024-01-18 14:00:00,user_146,267,83,India,#broadband
47,"Internet keeps disconnecting. Called support 5 times with no resolution.",Negative,Twitter,TechBrand,2024-01-18 15:00:00,user_147,112,48,Germany,
48,"Service is reliable most of the time. Occasional outages.",Neutral,Facebook,TechBrand,2024-01-18 16:00:00,user_148,6,2,USA,
49,"Loyalty rewards program is fantastic! Feel so valued as a customer! #loyalty",Positive,Twitter,RetailChain,2024-01-18 17:00:00,user_149,189,56,Canada,#loyalty
50,"Website crashes every time I try to checkout. Lost my order twice.",Negative,Twitter,RetailChain,2024-01-18 18:00:00,user_150,67,28,UK,
